ex_id	name	cname	muscle.0	muscle.1	min_reps	max_reps	min_sets	max_sets	img.0	img.1	img.2	desc.0	desc.1	desc.2
1	Standing Side Slopes		abs						standing_side_slops.jpg					
2	End Dumbbell One Hand		back						end_dumbbell_one_hand2.gif	end_dumbbell_one_hand.jpg				
3	Incline Bench Row Arm Dumbbell Row		back						incline_bench_row_arm_dumbell_row.jpg					
4	Lift Dumbbell Hand to lean forward body		back						Lift_dumbbell_hand_to_lean_forward_body.jpg					
5	Thrust dumbbells in the slope	背闊肌	back		10		3		thrust_dumbbells_in_the_slope.mp4	thrust_dumbbells_in_the_slope.jpg		俯身與地面平行，背部挺直。雙手持啞鈴自然下垂，掌心向對，雙膝微曲。	動作要領：保持背部挺直，上體靜止，背闊肌收縮，雙臂向體側拉動啞鈴至啞鈴貼到身體；感覺背闊肌受力。	"要點提示：
1. 背部有不適者請避免此項練習或者採用低位滑輪組代替啞鈴和槓鈴。
2. 動作時下背部應保持收緊且平直。
3. 向上拉起啞鈴時肘部應儘可能貼近軀幹。
4. 頭部應平視前方。"
6		啞鈴聳肩	back						啞鈴聳肩.gif	啞鈴聳肩2.gif				
7	Rise on Toes (Sit)	坐姿啞鈴提踵	lowerlegs		20	50	3	4	rise_on_toes_sit.gif			"動作描述：
1.坐在凳子上，大腿平行地面，小腿垂直大腿，前腳掌置於啞鈴或其它有一定高度的墊片上，雙手持啞鈴置於膝蓋上。
2.小腿發力，慢慢抬高腳後跟至動作最高點，感受小腿的緊張收縮，停頓2-3秒。
3.緩慢下放至最低點，感受小腿後側拉伸，停頓2-3秒，重復。"	"動作要點：
1.還原時要注意控制動作節奏，切勿突然鬆弛，以免拉傷肌肉。
2.每次提踵，都要充分抬高和下壓腳後跟，使小腿肌群得到充分鍛鍊。"	考慮到小腿肌肉是非常有力的，如果你在家做啞鈴提踵的話，建議選擇稍微重一點的啞鈴，多做幾次（20-50次/組，3-4組），做到力竭，這樣對比目魚肌的訓練效果也更好。
8	Rise on Toes (Stand)	站姿比目魚肌拉伸	lowerlegs		10		3		rise_on_toes_stand.jpg			"動作描述:
1.選擇鈴片或有高度的重物做輔助。前後腳弓步站，拉伸腳的前腳掌落在啞鈴上，後半腳掌落地上，雙手置腰間或扶牆保持平衡。
2.放鬆整個腳掌，用腳跟處往下壓，身體可以輔助前傾施力，感受整個小腿後側有拉伸和酸痛感。
3.保持拉伸動作30-60秒，換另一側，重復。"	"動作要點:
1.拉伸時要保證拉伸腿處於屈膝狀態。
2.每次拉伸一定要充分。
想要讓小腿看上去比較瘦，運動後一定要記得拉伸比目魚肌。"	
9	Muscle Structure	肌肉分佈	lowerlegs						muscle_structure.jpg	muscle_difference.jpeg				
10	Dead lift		upperlegs						dead_lift.jpg					
11	Lunges	Lunges	upperlegs						lunges2.gif	lunges.jpg				
